number,fromUsername,context,record_time
694130543,孙慧, 直播的图像和画面都不错,9/18/2017 19:30
694130543,陈泽纯, 有钱才能生钱,9/18/2017 19:30
694130543,陈泽纯, 祝老师，同花顺有的，上学期已经交易过了，已经亏了的怎么办？,9/18/2017 19:30
694130543,张勇, 喜欢祝老师的课哦,9/18/2017 19:35
694130543,hxq, 能听到,9/18/2017 19:45
694130543,安琪, 视频声音很好，效果棒,9/18/2017 19:45
694130543,袁庆生, 祝老师网上作业后三套尚未开启.,9/19/2017 16:06
694130543,况莹莹, 信用消费,9/21/2017 21:52
694130543,袁庆生, 依据人脑忘记曲线.我们95%的知识会忘记.,9/23/2017 20:18
694130543,陈泽纯, 是只有我没有声音了吗？,9/25/2017 11:03
694130543,袁庆生, 人民币出香港不容易,9/25/2017 11:03
694130543,袁庆生, 买涨不买跌心里.,9/25/2017 22:57
694130543,陈泽纯, 以后我们要变成机器人的奴隶了,9/25/2017 23:00
694130543,陈泽纯, 是闭卷的吗？,9/25/2017 23:48
694130543,吴为, 祝老师辛苦了,9/29/2017 10:43
694130543,袁庆生," 坐高铁,飞机出国会受影响.上了黑名单",11/2/2017 10:38
694130543,袁庆生, 欧洲有无管理者(刷脸}宾馆.,11/7/2017 15:23
694130543,祝小兵, 再见,11/7/2017 15:24
694130543,袁庆生, 可设一个年龄段更新期.,11/7/2017 20:48
985200355,张令元, 呵呵,9/10/2017 10:01
985200355,张令元, 听懂了吗?,9/10/2017 10:04
985200355,田朵朵, 懂了,9/16/2017 17:37
985200355,田朵朵, 很清楚,9/17/2017 22:52
985200355,田朵朵, 抱歉,9/17/2017 22:54
985200355,张令元, 有什么问题吗?,9/18/2017 18:10
985200355,田朵朵, 函数的周期性有什么具体实例吗？,9/18/2017 19:44
985200355,田朵朵, 有事先跑,9/19/2017 15:31
985200355,张令元, 怎么跑了?,9/25/2017 11:03
985200355,田朵朵, 张老师辛苦了！老师再见！,11/7/2017 20:48
985200355,张令元," 有的,如星期作为日期的函数是周期为7的周期函数,因为每隔7天就重复周一到周日.",11/7/2017 20:48
1315020952,八个, 你们好,9/18/2017 19:07
1315020952,gg, 没声音,9/18/2017 19:10
1315020952,八个, 大家好,9/18/2017 19:19
1315020952,gg, 能看到人,9/23/2017 22:14
1606544467,hhhhhhh, 听到,9/10/2017 9:58
1606544467,hhhhhhh, 老师们帅啊,9/16/2017 16:44
1606544467,hhhhhhh, 你辛苦了,9/16/2017 17:22
1606544467,hhhhhhh, 啊啊啊,9/18/2017 15:21
1606544467,hhhhhhh, 抬个头呗,9/18/2017 19:01
1606544467,hhhhhhh, 季老师，可以说几句话吗,9/18/2017 19:22
1606544467,hhhhhhh, 有钱是好,9/18/2017 19:36
1606544467,hhhhhhh, 看到帅哥喽,9/18/2017 19:44
1606544467,hhhhhhh, 果然美颜,9/18/2017 20:08
1606544467,hhhhhhh, 再说几句呗,9/19/2017 15:31
1606544467,hhhhhhh, 又听到了,9/25/2017 11:03
1954801364,尚齐, 啦咯啦咯啦咯,9/10/2017 9:54
1954801364,尚齐,711,9/16/2017 16:44
2120839286,kaifang站点管理员, 测试摄像头设备切换的问题,9/10/2017 9:55
2120839286,尚齐, 测试什么？,9/10/2017 10:03
2120839286,尚齐, 进来了,9/17/2017 22:07
